date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:43	251456/251456	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2003:05:45%20GMT	https://staticdevelopers.com/report-generator/	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/report-generator/index.html	(from )
11:21:43	178/178	---MC-	200	added ('OK')	text/plain	date:Sun,%2008%20Feb%202026%2017:21:35%20GMT	https://staticdevelopers.com/robots.txt		(from )
11:21:44	15820/15820	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2006:41:16%20GMT	https://staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/base.css?ver=3.5.3	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/base1aae.css	(from https://staticdevelopers.com/report-generator/)
11:21:45	4256/4256	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2021:55:49%20GMT	http://staticdevelopers.com/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.34	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/revslider/public/css/sr7e00b.css	(from https://staticdevelopers.com/report-generator/)
11:21:45	25115/25115	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2006:41:16%20GMT	https://staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/variation_1.css?ver=3.5.3	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/variation_11aae.css	(from https://staticdevelopers.com/report-generator/)
11:21:45	8542/8542	---M--	200	added ('OK')	text/css	date:Sat,%2006%20Dec%202025%2010:15:33%20GMT	https://staticdevelopers.com/wp-content/plugins/wp-stats-manager/css/style.css?ver=1.2	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/wp-stats-manager/css/style62ea.css	(from https://staticdevelopers.com/report-generator/)
11:21:46	9427/9427	---M--	200	added ('OK')	image/gif	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://staticdevelopers.com/report-generator/)
11:21:46	8657/8657	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2021:55:50%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/styles/style.min.css?ver=1.0.0	C:/My%20Web%20Sites/report%20generator/staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/styles/style.min8a54.css	(from https://staticdevelopers.com/report-generator/)
11:21:47	1692/1692	---M--	200	added ('OK')	image/png	etag:%22ecf8676be0086256%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/report%20generator/i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5e43b.png	(from https://staticdevelopers.com/report-generator/)
11:21:49	9519/9519	---M--	200	added ('OK')	image/png	etag:%228ee1341d7ade777b%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/report%20generator/i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-598d8.png	(from https://staticdevelopers.com/report-generator/)
